Iteration,Pin2_V,Pin3_V,Pin4_V,Pin5_V
1,4.194,4.252,3.861,3.607
2,3.803,3.964,3.895,3.729
3,3.587,3.661,3.695,3.627
4,3.851,3.900,3.930,3.842
5,3.724,3.744,3.773,3.759
6,3.602,3.587,3.597,3.607
7,3.856,3.876,3.856,3.812
8,3.656,3.661,3.666,3.671
9,3.592,3.583,3.573,3.573
10,3.807,3.842,3.817,3.773
11,3.622,3.631,3.641,3.641
12,3.729,3.734,3.734,3.695
13,3.827,3.856,3.847,3.807
14,3.568,3.563,3.563,3.587
15,3.607,3.602,3.583,3.578
16,3.734,3.763,3.739,3.705
17,3.475,3.475,3.475,3.495
18,3.568,3.573,3.553,3.534
19,3.671,3.700,3.680,3.646
20,3.412,3.412,3.412,3.431